k,group,n_patients,method,mfe,r2,n_points
3,ADA negative,68,latent ODE,1.1916063517337085,0.8723323387161259,2090
3,ADA negative,68,"popPK, no covariates",1.218787496583178,0.8515776870995091,2090
3,ADA negative,68,popPK with covariates,1.1847846544078355,0.8816798291520062,2090
3,ADA negative,68,"popPK, time-varying CL",1.1896005754789147,0.8657185677471766,2090
3,ADA negative,68,true model (ceiling),1.1752873041728666,0.8935760452825263,2090
3,onset after last level,52,latent ODE,1.3000028312245684,0.7642404891687521,1511
3,onset after last level,52,"popPK, no covariates",1.2840526582848306,0.7610142825642899,1511
3,onset after last level,52,popPK with covariates,1.2183506063107958,0.8126513391111805,1511
3,onset after last level,52,"popPK, time-varying CL",1.1993490684325743,0.8282627459465789,1511
3,onset after last level,52,true model (ceiling),1.1742465763821748,0.9099326034907657,1511
4,ADA negative,68,latent ODE,1.1744264392257553,0.9051557893432756,2022
4,ADA negative,68,"popPK, no covariates",1.160746672692919,0.9064080242615754,2022
4,ADA negative,68,popPK with covariates,1.1476340673504133,0.9243875840875619,2022
4,ADA negative,68,"popPK, time-varying CL",1.1426278231746483,0.919946613820364,2022
4,ADA negative,68,true model (ceiling),1.1402361886510854,0.9280544275232794,2022
4,onset after last level,52,latent ODE,1.2661770038196305,0.8193878916119266,1459
4,onset after last level,52,"popPK, no covariates",1.1947240028099886,0.8359467292106293,1459
4,onset after last level,52,popPK with covariates,1.197595745999977,0.8453617587783813,1459
4,onset after last level,52,"popPK, time-varying CL",1.1833077464987414,0.8407609235973504,1459
4,onset after last level,52,true model (ceiling),1.14256474346731,0.9190168275911105,1459
6,ADA negative,68,latent ODE,1.1666240204853016,0.9304015721210761,1886
6,ADA negative,68,"popPK, no covariates",1.131011329034331,0.9472531282466381,1886
6,ADA negative,68,popPK with covariates,1.1077391316757257,0.9527450752290637,1886
6,ADA negative,68,"popPK, time-varying CL",1.118282591544543,0.9508073701365571,1886
6,ADA negative,68,true model (ceiling),1.119156544505046,0.951785153377016,1886
6,onset after last level,51,latent ODE,1.220056714250053,0.895796955957727,1331
6,onset after last level,51,"popPK, no covariates",1.195321103352283,0.8407550590462372,1331
