epoch,train_loss,val_mse,beta,lr
43,-0.2972782589731173,0.24732039123773575,1.0,0.003
44,-0.32318520219317626,0.2593972235918045,1.0,0.003
45,-0.30088833752081223,0.25549910962581635,1.0,0.003
46,-0.2531126192477314,0.26988792419433594,1.0,0.003
47,-0.3323690251167723,0.25667835772037506,1.0,0.003
48,-0.30936552405716966,0.24420811235904694,1.0,0.003
49,-0.2614803376720442,0.24107486382126808,1.0,0.003
50,-0.3109276391621988,0.24881751090288162,1.0,0.0015
51,-0.3100859199519011,0.2384975589811802,1.0,0.0015
52,-0.2864970181360204,0.24236450344324112,1.0,0.0015
53,-0.2951848618270405,0.24893922731280327,1.0,0.0015
54,-0.34159503207846825,0.23178530111908913,1.0,0.0015
55,-0.3448945367587997,0.2563077285885811,1.0,0.0015
56,-0.31545699574858654,0.28364868089556694,1.0,0.0015
57,-0.25177759341614636,0.24347121641039848,1.0,0.0015
58,-0.3777485533447467,0.23188289254903793,1.0,0.0015
59,-0.28835773953035765,0.23869002610445023,1.0,0.0015
60,-0.35755926240263664,0.24085243791341782,1.0,0.0015
61,-0.34240932258425677,0.24447833001613617,1.0,0.0015
62,-0.32018839037855884,0.2662946544587612,1.0,0.0015
63,-0.3283326757709365,0.23973171785473824,1.0,0.0015
64,-0.3639210553250761,0.24276221171021461,1.0,0.0015
65,-0.3428747171550135,0.25330303609371185,1.0,0.00075
66,-0.32271113870969786,0.23667466267943382,1.0,0.00075
67,-0.387299634389628,0.2406364604830742,1.0,0.00075
68,-0.3518449208165845,0.23250581324100494,1.0,0.00075
69,-0.3243865674437441,0.242758646607399,1.0,0.00075
70,-0.3586789815284428,0.236342653632164,1.0,0.00075
71,-0.34733421688046273,0.23834406211972237,1.0,0.00075
72,-0.27473389202173537,0.23578223586082458,1.0,0.00075
73,-0.357728021632732,0.23286302387714386,1.0,0.00075
74,-0.3571018634938067,0.24588623270392418,1.0,0.00075
75,-0.3505735246873849,0.24511031061410904,1.0,0.00075
76,-0.3640981449350872,0.2263014055788517,1.0,0.00075
77,-0.2945380261805622,0.23087133467197418,1.0,0.00075
78,-0.3148425559262764,0.23719966411590576,1.0,0.00075
79,-0.3760591567461667,0.23011430725455284,1.0,0.00075
80,-0.3928803179418699,0.23058997467160225,1.0,0.00075
81,-0.31453035555034503,0.22734736651182175,1.0,0.00075
82,-0.32832755305588457,0.22905797883868217,1.0,0.00075
83,-0.3601837622753755,0.22671959921717644,1.0,0.00075
84,-0.38789549163084286,0.22907835990190506,1.0,0.00075
85,-0.3426163500235751,0.2311374619603157,1.0,0.00075
86,-0.33171089380425145,0.22911497205495834,1.0,0.00075
87,-0.37481585348773205,0.2305474877357483,1.0,0.000375
88,-0.36097886737055845,0.22929971292614937,1.0,0.000375
89,-0.37818318263198214,0.22823918610811234,1.0,0.000375
90,-0.3565273037593289,0.23508932814002037,1.0,0.000375
91,-0.33851110873179197,0.23185916990041733,1.0,0.000375
92,-0.40710655646206684,0.23145058751106262,1.0,0.000375
93,-0.3807620349962427,0.2305953949689865,1.0,0.000375
94,-0.35628990145889944,0.23022819310426712,1.0,0.000375
95,-0.3671533098842344,0.2326151430606842,1.0,0.000375
96,-0.3675498809659823,0.22832803800702095,1.0,0.000375
97,-0.3484094746886575,0.23797255754470825,1.0,0.000375
98,-0.39397781488882233,0.23057085648179054,1.0,0.0001875
99,-0.4211670767158165,0.2306208647787571,1.0,0.0001875
100,-0.36387392240831634,0.23166806250810623,1.0,0.0001875
101,-0.3725632362880558,0.23336606472730637,1.0,0.0001875
102,-0.3765835539098359,0.22884557396173477,1.0,0.0001875
103,-0.39310117094824815,0.2296939380466938,1.0,0.0001875
104,-0.35744891889194796,0.22618729248642921,1.0,0.0001875
105,-0.3617303865947215,0.22733265161514282,1.0,0.0001875
106,-0.37579832172321875,0.2285374440252781,1.0,0.0001875
107,-0.377919634905456,0.2351309210062027,1.0,0.0001875
108,-0.3544268138717922,0.22920984774827957,1.0,0.0001875
109,-0.3869258458992535,0.22767461463809013,1.0,0.0001875
110,-0.3690418209934906,0.23474190011620522,1.0,0.0001875
111,-0.37647175986063186,0.23217864707112312,1.0,0.0001875
112,-0.35924272394887524,0.2277686670422554,1.0,0.0001875
113,-0.36937989798426446,0.23229484632611275,1.0,0.0001875
114,-0.3583539573195713,0.23381643369793892,1.0,0.0001875
115,-0.392082970510361,0.23059850931167603,1.0,0.0001
116,-0.3386985537333366,0.22928228229284286,1.0,0.0001
117,-0.3793216821325071,0.22984261810779572,1.0,0.0001
118,-0.3842217802222258,0.22947194799780846,1.0,0.0001
119,-0.34628186601379396,0.22642818838357925,1.0,0.0001
120,-0.42171808962488727,0.22542649880051613,1.0,0.0001
121,-0.4291155861333844,0.22843067348003387,1.0,0.0001
122,-0.40987004383596837,0.23197359591722488,1.0,0.0001
123,-0.3744854083428016,0.22907518595457077,1.0,0.0001
124,-0.39942688529308024,0.22739067301154137,1.0,0.0001
125,-0.365042539127452,0.227360337972641,1.0,0.0001
126,-0.38643181712678953,0.22943171113729477,1.0,0.0001
127,-0.4050565800156169,0.2285373918712139,1.0,0.0001
128,-0.37252141123084104,0.22704004123806953,1.0,0.0001
129,-0.3774131122547637,0.22746656462550163,1.0,0.0001
130,-0.425894699829676,0.22744062915444374,1.0,0.0001
131,-0.3923168886540942,0.22761064022779465,1.0,0.0001
132,-0.41436630969613325,0.22930051386356354,1.0,0.0001
133,-0.4038249426717552,0.2300041951239109,1.0,0.0001
134,-0.36254338341001413,0.22916237637400627,1.0,0.0001
135,-0.3853281088244561,0.22693651542067528,1.0,0.0001
136,-0.3915042802369313,0.22639568150043488,1.0,0.0001
137,-0.4034208440492955,0.2299199290573597,1.0,0.0001
138,-0.3909977103490336,0.23087280616164207,1.0,0.0001
139,-0.3992499208738002,0.22815877944231033,1.0,0.0001
140,-0.3615824091248683,0.22716320678591728,1.0,0.0001
141,-0.38406652755746895,0.22894298285245895,1.0,0.0001
142,-0.35784359568624174,0.2292584516108036,1.0,0.0001
143,-0.3669671250953933,0.2270386479794979,1.0,0.0001
144,-0.4022256164139632,0.22588138654828072,1.0,0.0001
145,-0.3610183986903076,0.2259196639060974,1.0,0.0001
146,-0.3813842914013362,0.2269393689930439,1.0,0.0001
147,-0.3900975393883363,0.22691193595528603,1.0,0.0001
148,-0.3621138772963279,0.22877196595072746,1.0,0.0001
149,-0.35218649375013156,0.2285969890654087,1.0,0.0001
150,-0.35007397898062204,0.22711824998259544,1.0,0.0001
