epoch,train_loss,val_mse,beta,lr
0,12.04637098312378,1.030297875404358,0.04,0.003
1,8.729342937469482,0.6955516636371613,0.08,0.003
2,4.254755735397339,0.26992277055978775,0.12,0.003
3,1.1444353957970936,0.26845503970980644,0.16,0.003
4,0.72018330792586,0.2011181153357029,0.2,0.003
5,0.39999111493428546,0.30750204250216484,0.24,0.003
6,0.12525101689000925,0.2229804415255785,0.28,0.003
7,-0.014284625028570494,0.23466578498482704,0.32,0.003
8,-0.11534756111601989,0.2035827301442623,0.36,0.003
9,-0.22437124202648798,0.19500450789928436,0.4,0.003
10,-0.2702535887559255,0.17845101095736027,0.44,0.003
11,-0.2266367251674334,0.1574376355856657,0.48,0.003
12,-0.35315417870879173,0.1580105423927307,0.52,0.003
13,-0.35400713918109733,0.18352912738919258,0.56,0.003
14,-0.24360363247493902,0.18048597499728203,0.6,0.003
15,-0.41086162875096005,0.20011109486222267,0.64,0.003
16,-0.2460659220814705,0.20376206561923027,0.68,0.003
17,-0.3499862353006999,0.19724066182971,0.72,0.003
18,-0.32970748965938884,0.17215672135353088,0.76,0.003
19,-0.4868273933728536,0.16170550603419542,0.8,0.003
20,-0.5805010249217352,0.16631057299673557,0.84,0.003
21,-0.5620184193054835,0.183642765507102,0.88,0.003
22,-0.6602236926555634,0.1676193168386817,0.92,0.0015
23,-0.589590365688006,0.17212355323135853,0.96,0.0015
24,-0.6866209208965302,0.1381313893944025,1.0,0.0015
25,-0.628691628575325,0.1347468663007021,1.0,0.0015
26,-0.676606073975563,0.15506019536405802,1.0,0.0015
27,-0.6951404015223185,0.1427591536194086,1.0,0.0015
28,-0.6965521375338236,0.13683585822582245,1.0,0.0015
29,-0.6717794338862101,0.15410577598959208,1.0,0.0015
30,-0.6723333150148392,0.16531633771955967,1.0,0.0015
31,-0.7205416957537333,0.15904086828231812,1.0,0.0015
32,-0.7117179483175278,0.15702184103429317,1.0,0.0015
33,-0.7527283827463785,0.11972947884351015,1.0,0.0015
34,-0.6470774163802465,0.12769232783466578,1.0,0.0015
35,-0.672700305779775,0.14653800707310438,1.0,0.0015
36,-0.7426858643690745,0.12028547376394272,1.0,0.0015
37,-0.753671795129776,0.12570651527494192,1.0,0.0015
38,-0.7301460206508636,0.13347304984927177,1.0,0.0015
39,-0.6325376927852631,0.1255026701837778,1.0,0.0015
