dataset,method,k,mfe,r2,n_points
doses,latent ODE,16,1.164279770201587,0.9496293726929745,2108
doses,"popPK, no covariates",16,1.1185540270583025,0.9462455354109831,2108
doses,popPK with covariates,16,1.1059108878467778,0.9538928926672877,2108
doses,true model (ceiling),16,1.1069680202153793,0.9530190195439268,2108
doses,latent ODE,20,1.1446833486182046,0.9523541048898432,1628
doses,"popPK, no covariates",20,1.1034546002264742,0.9577345886578938,1628
doses,popPK with covariates,20,1.094778263935584,0.9592957306539336,1628
doses,true model (ceiling),20,1.096965608943144,0.9589620494324921,1628
doses,latent ODE,24,1.1670214066479414,0.9489772739585332,1148
doses,"popPK, no covariates",24,1.1221574248071158,0.950883794560129,1148
doses,popPK with covariates,24,1.1163464594125836,0.9519678998516522,1148
doses,true model (ceiling),24,1.1167363573436984,0.951516406660085,1148
ada,latent ODE,0,1.2228060647923449,0.8544346177110191,3961
ada,"popPK, no covariates",0,1.3411681132025097,0.7854754048970936,3961
ada,popPK with covariates,0,1.2189001527193364,0.8436219834087206,3961
ada,"popPK, time-varying CL",0,1.2189001527193364,0.8436219834087206,3961
ada,true model (ceiling),0,1.1969237068407093,0.8909298927851252,3961
ada,latent ODE,1,1.22170721104904,0.8288906952862133,3841
ada,"popPK, no covariates",1,1.2847674338118853,0.7830091671079484,3841
ada,popPK with covariates,1,1.204105685283184,0.8418159949093387,3841
ada,"popPK, time-varying CL",1,1.2042308923366707,0.8413407568513563,3841
ada,true model (ceiling),1,1.1715906941278127,0.8930153960471955,3841
ada,latent ODE,2,1.2312777601663123,0.8190370771996563,3721
ada,"popPK, no covariates",2,1.2621868629720914,0.7851744375384955,3721
ada,popPK with covariates,2,1.2034727907265639,0.8404776942254827,3721
ada,"popPK, time-varying CL",2,1.2020925903140969,0.83972541316091,3721
ada,true model (ceiling),2,1.1724614338450714,0.8930741619840116,3721
ada,latent ODE,3,1.2250062549663274,0.8277381905934537,3601
ada,"popPK, no covariates",3,1.242759243907777,0.8161245116171407,3601
ada,popPK with covariates,3,1.1981853352841776,0.8548960897227118,3601
ada,"popPK, time-varying CL",3,1.1937460229810117,0.8544130840247683,3601
ada,true model (ceiling),3,1.1750064976996852,0.9061155977230781,3601
ada,latent ODE,4,1.2071296615776224,0.869393297335682,3481
ada,"popPK, no covariates",4,1.1699063383848909,0.8777454620864811,3481
ada,popPK with covariates,4,1.1631442993760441,0.8908972068947855,3481
ada,"popPK, time-varying CL",4,1.1564968184233735,0.8865847921181538,3481
ada,true model (ceiling),4,1.1412083790452137,0.9271221720329414,3481
ada,latent ODE,6,1.1837908332151161,0.9163509495543314,3241
ada,"popPK, no covariates",6,1.1481247137756765,0.9001143431411898,3241
ada,popPK with covariates,6,1.136189508810165,0.9041055631162633,3241
ada,"popPK, time-varying CL",6,1.136701388363322,0.8985997072423433,3241
ada,true model (ceiling),6,1.118149532697364,0.9501149723564255,3241
ada,latent ODE,8,1.1807907452241835,0.9088213436842352,3001
ada,"popPK, no covariates",8,1.1480973744323926,0.8923548864450163,3001
ada,popPK with covariates,8,1.135306197867065,0.8966824580701089,3001
ada,"popPK, time-varying CL",8,1.1361310065729036,0.8864760384042285,3001
ada,true model (ceiling),8,1.1193547263003125,0.9465341086094217,3001
ada,latent ODE,12,1.194669947828606,0.9219928692148927,2521
ada,"popPK, no covariates",12,1.1291687194957287,0.9001197458035256,2521
ada,popPK with covariates,12,1.1286326585306417,0.9011610325201461,2521
ada,"popPK, time-varying CL",12,1.1244532723996712,0.8904320602640438,2521
ada,true model (ceiling),12,1.099781693661616,0.9610317932489614,2521
ada,latent ODE,16,1.2131273712989932,0.9079737127842513,2041
ada,"popPK, no covariates",16,1.1617595854957088,0.8853060228196157,2041
ada,popPK with covariates,16,1.1624836488509642,0.8870043167925924,2041
ada,"popPK, time-varying CL",16,1.1585854754099683,0.8883689408868637,2041
ada,true model (ceiling),16,1.1159128455862597,0.9586669837465005,2041
ada,latent ODE,20,1.1805157032088955,0.9212508899638312,1558
ada,"popPK, no covariates",20,1.1485330532882447,0.9023669896356664,1558
ada,popPK with covariates,20,1.1286789820510945,0.9036822439805439,1558
ada,"popPK, time-varying CL",20,1.1132383451528904,0.9119480587549476,1558
ada,true model (ceiling),20,1.0947880342582617,0.9690433205707157,1558
ada,latent ODE,24,1.1884720129803732,0.9265705807729147,1078
ada,"popPK, no covariates",24,1.1646597299346635,0.8975738879293648,1078
ada,popPK with covariates,24,1.1458816396978098,0.8985370316924999,1078
ada,"popPK, time-varying CL",24,1.1269388551825132,0.9414635154883939,1078
ada,true model (ceiling),24,1.1067695753822346,0.9648595162111528,1078
