epoch,train_loss,val_mse,beta,lr
0,12.328680514018243,1.1782746613025665,0.04,0.003
1,8.723671148437445,0.8552909046411514,0.08,0.003
2,4.722589474108509,0.4936634749174118,0.12,0.003
3,1.8521586751547132,0.4499693065881729,0.16,0.003
4,1.4680591305124406,0.4014553278684616,0.2,0.003
5,0.9497319152211846,0.2955745533108711,0.24,0.003
6,0.659391705046426,0.2890876904129982,0.28,0.003
7,0.47164898612372363,0.3057454824447632,0.32,0.003
8,0.6946234902609182,0.3487507924437523,0.36,0.003
9,0.5218576846718023,0.29515933245420456,0.4,0.003
10,0.377017718416433,0.24461407959461212,0.44,0.003
11,0.2268113941101322,0.2548856884241104,0.48,0.003
12,0.11724788096517041,0.2498471848666668,0.52,0.003
13,0.043609011831968914,0.27442897856235504,0.56,0.003
14,-0.029657806884484533,0.24991310760378838,0.6,0.003
15,-0.10697785223167515,0.23545801267027855,0.64,0.003
16,-0.18672706991042776,0.24556251987814903,0.68,0.003
17,-0.10702555846602757,0.2731585279107094,0.72,0.003
18,-0.15503613390554408,0.281526867300272,0.76,0.003
19,-0.13291091500634455,0.23441259935498238,0.8,0.003
20,-0.18916747529419708,0.23846373707056046,0.84,0.003
21,-0.12353155035545789,0.2456989921629429,0.88,0.003
22,-0.30196889819497713,0.26272523775696754,0.92,0.003
23,-0.25172130151242916,0.23809319362044334,0.96,0.003
24,-0.2957651860646404,0.23066604882478714,1.0,0.003
25,-0.30005086727880964,0.22251518815755844,1.0,0.003
26,-0.2834102575488735,0.23794948682188988,1.0,0.003
27,-0.35678375435788773,0.22482074797153473,1.0,0.003
28,-0.38780103769068397,0.2443109154701233,1.0,0.003
29,-0.3615294613458289,0.2399723194539547,1.0,0.003
30,-0.4328582189151125,0.23772286996245384,1.0,0.003
31,-0.48460562596470336,0.225687924772501,1.0,0.003
32,-0.42243550221615667,0.24167108535766602,1.0,0.003
33,-0.3018443391237758,0.23031970113515854,1.0,0.003
34,-0.3621134108664524,0.22880704142153263,1.0,0.003
35,-0.4742191234479029,0.22882597520947456,1.0,0.003
36,-0.48166326744933746,0.21975787729024887,1.0,0.003
37,-0.4694391697430401,0.2219616286456585,1.0,0.003
38,-0.4733464327895614,0.22634416073560715,1.0,0.003
39,-0.4115495074741555,0.2174474000930786,1.0,0.003
40,-0.5219911569927131,0.21672133170068264,1.0,0.003
41,-0.4948993394082738,0.2123335339128971,1.0,0.003
42,-0.5103505945373986,0.22402847930788994,1.0,0.003
43,-0.5619457215791582,0.22524655237793922,1.0,0.003
44,-0.5017013600529541,0.21231679059565067,1.0,0.003
45,-0.5247882027912733,0.2159996461123228,1.0,0.003
46,-0.5425548579800175,0.21683667786419392,1.0,0.003
47,-0.5933285974269912,0.2104324121028185,1.0,0.003
48,-0.5501915756942183,0.20196647942066193,1.0,0.003
49,-0.5505514087111143,0.2047391589730978,1.0,0.003
50,-0.5350312697727361,0.2149240206927061,1.0,0.003
51,-0.5678549514069634,0.1978745199739933,1.0,0.003
52,-0.561356588481668,0.1977515835314989,1.0,0.003
53,-0.49557091322052527,0.19517149589955807,1.0,0.003
54,-0.5413047935828744,0.19563399627804756,1.0,0.003
55,-0.5552176112118402,0.20718575082719326,1.0,0.003
56,-0.5074388810331111,0.22056111507117748,1.0,0.003
